2451984|46418|404|6|793022|4033|397|2|1|1|51|37.23|3.35|40.58|55.28|714.00|0.74|17.51|18.98|772.63|
2451822|47480|1813|6|1082163|7157|751|1|1|1|43|4009.32|120.27|4129.59|28.23|0.00|3448.01|5.61|555.70|148.50|
2451653|37700|1030|284|289468|3067|819|2|1|2|7|249.48|2.49|251.97|11.50|6.23|234.51|8.83|6.14|20.22|
2452682|38957|1719|47|793786|6401|663|2|1|3|3|227.37|6.82|234.19|9.23|33.42|125.05|51.16|51.16|49.47|
2452682|41617|1063|47|193750|2351|152|1|1|3|23|1273.05|25.46|1298.51|46.15|406.18|954.78|57.28|260.99|477.79|
2452688|60645|1545|47|1047081|2455|76|2|1|3|1|35.14|2.45|37.59|79.00|0.00|9.13|5.20|20.81|81.45|
2451598|40772|397|814|722383|1497|164|2|1|4|18|63.54|1.27|64.81|1.26|10.80|33.67|2.68|27.19|13.33|
2451521|33881|908|814|925501|3196|491|2|1|4|12|18.60|1.48|20.08|46.48|270.60|10.04|8.04|0.52|318.56|
2451628|34073|1790|246|1150235|3185|935|1|1|5|58|347.42|6.94|354.36|97.98|331.18|107.70|14.38|225.34|436.10|
2452165|54713|151|29|492488|6806|724|2|1|6|1|61.81|3.70|65.51|68.44|44.79|54.39|0.14|7.28|116.93|
2452319|50204|543|954|1182421|560|299|1|1|7|72|809.28|24.27|833.55|88.17|51.12|194.22|442.84|172.22|163.56|
2452065|40372|163|451|178772|175|625|2|1|10|48|3960.48|0.00|3960.48|39.22|65.76|1980.24|1960.43|19.81|104.98|
2452575|42311|1639|900|727030|4636|89|1|1|11|36|1639.44|81.97|1721.41|96.21|712.80|147.54|1163.68|328.22|890.98|
2451378|48500|1196|820|201438|6076|714|2|1|12|27|417.42|4.17|421.59|62.17|2400.30|375.67|37.57|4.18|2466.64|
2451329|44694|1495|820|1351118|2652|633|2|1|12|46|1208.42|48.33|1256.75|69.04|887.80|96.67|355.76|755.99|1005.17|
2451014|29493|130|588|130689|2790|138|1|1|13|58|40.60|3.24|43.84|1.13|312.62|27.20|0.26|13.14|316.99|
2450926|48082|1591|144|541501|527|400|1|1|13|1|83.51|7.51|91.02|81.26|20.31|73.48|8.42|1.61|109.08|
2450924|48257|2000|144|277151|1877|50|1|1|13|6|350.40|14.01|364.41|20.61|247.98|255.79|62.44|32.17|282.60|
||935|409|829696||||1|14||708.18|49.57|757.75|||559.46||||
2451933|41472|1100|835|747820|2733|446|1|1|15|1|9.43|0.75|10.18|35.62|48.33|8.48|0.61|0.34|84.70|
2450914|51589|1903|222|1815885|5148|411|2|1|16|24|2406.00|72.18|2478.18|19.02|349.20|505.26|722.28|1178.46|440.40|
2450924|34013|1750|139|524921|3159|950|2|1|16|15|181.65|10.89|192.54|98.09|60.45|74.47|8.57|98.61|169.43|
2451547|44125|1285|292|1532238|2533|828|1|1|18|56|199.36|9.96|209.32|57.84|89.04|95.69|14.51|89.16|156.84|
2451491|44663|1100|292|187471|1924|424|2|1|18|13|419.25|12.57|431.82|58.46|226.72|37.73|343.36|38.16|297.75|
2451376|56165|1294|104|1392417|1141|312|1|1|19|14|359.24|32.33|391.57|13.77|517.30|283.79|45.27|30.18|563.40|
2451493|50425|1304|762|1325860|758|856|1|1|19|78|2391.48|47.82|2439.30|78.85|2602.86|2032.75|243.93|114.80|2729.53|
2451280|33889|190|626|854970|2561|305|1|1|21|27|1778.76|53.36|1832.12|73.43|495.72|160.08|1068.32|550.36|622.51|
2451277|40485|1051|935|1685822|6158|494|2|1|22|17|35.02|0.00|35.02|22.87|195.16|14.35|2.68|17.99|218.03|
2451231|29254|475|935|1247881|5718|555|2|1|22|6|113.94|9.11|123.05|66.52|53.40|37.60|57.25|19.09|129.03|
